eV	CPS	eV	CPS
22.6	720880	0.2	14417.6
22.61	812474	0.19	16249.48
22.62	923758	0.18	18475.16
22.63	1.06E+06	0.17	21179.94
22.64	1.18E+06	0.16	23500.18
22.65	1.30E+06	0.15	25912.98
22.66	1.43E+06	0.14	28657.12
22.67	1.55E+06	0.13	30956.62
22.68	1.67E+06	0.12	33420.84
22.69	1.79E+06	0.11	35861.22
22.7	1.89E+06	0.1	37848.76
22.71	2.00E+06	0.09	39930.66
22.72	2.10E+06	0.08	41960.02
22.73	2.18E+06	0.07	43580.32
22.74	2.28E+06	0.06	45522.24
22.75	2.33E+06	0.05	46506.84
22.76	2.38E+06	0.04	47541.84
22.77	2.44E+06	0.03	48700.2
22.78	2.46E+06	0.02	49286.04
22.79	2.47E+06	0.01	49373.22
22.8	2.48E+06	0	49589
22.81	2.45E+06	-0.01	48978.88
22.82	2.41E+06	-0.02	48147.32
22.83	2.37E+06	-0.03	47466.34
22.84	2.32E+06	-0.04	46393.98
22.85	2.24E+06	-0.05	44788.8
22.86	2.17E+06	-0.06	43364.18
22.87	2.07E+06	-0.07	41405.66
22.88	1.98E+06	-0.08	39615.7
22.89	1.87E+06	-0.09	37358.68
22.9	1.77E+06	-0.1	35485.64
22.91	1.67E+06	-0.11	33373.62
22.92	1.57E+06	-0.12	31310.4
22.93	1.45E+06	-0.13	28994.28
22.94	1.37E+06	-0.14	27440.84
22.95	1.27E+06	-0.15	25430.1
22.96	1.17E+06	-0.16	23393
22.97	1.09E+06	-0.17	21729.86
22.98	1.01E+06	-0.18	20135.22
22.99	928351	-0.19	18567.02
23	851220	-0.2	17024.4
23.01	778854	-0.21	15577.08
23.02	710015	-0.22	14200.3
23.03	649471	-0.23	12989.42
23.04	591600	-0.24	11832
23.05	539536	-0.25	10790.72
23.06	492119	-0.26	9842.38
23.07	444644	-0.27	8892.88
23.08	400235	-0.28	8004.7
23.09	362803	-0.29	7256.06
23.1	327168	-0.3	6543.36
23.11	293216	-0.31	5864.32
23.12	268772	-0.32	5375.44
23.13	239301	-0.33	4786.02
23.14	217274	-0.34	4345.48
23.15	192250	-0.35	3845
23.16	175819	-0.36	3516.38
23.17	159004	-0.37	3180.08
23.18	139746	-0.38	2794.92
23.19	124204	-0.39	2484.08
